pre,post,weight
10030,516911,1
10030,519415,1
10030,519461,28
10030,519539,3
10030,519624,1
10030,520117,5
10030,520409,1
10030,521190,1
10030,523769,14
10030,524005,3
10030,529571,1
10030,531425,11
10030,581131,80
10031,10005,194
10031,10038,3
10031,10070,116
10031,10148,4
10031,10406,15
10031,10502,8
10031,10636,28
10031,10760,5
10031,10850,3
10031,10875,2
10031,10962,3
10031,10986,1
10031,11177,1
10031,11199,1
10031,11208,23
10031,11370,3
10031,11440,1
10031,11526,3
10031,12084,39
10031,12130,1
10031,12278,1
10031,12391,23
10031,12458,1
10031,12990,2
10031,13240,16
10031,13441,82
10031,13697,6
10031,14049,2
10031,14373,11
10031,14411,100
10031,14459,6
10031,15150,2
10031,15198,8
10031,15699,12
10031,16340,2
10031,17461,2
10031,17953,18
10031,18146,14
10031,18335,31
10031,18876,4
10031,18917,9
10031,19066,22
10031,19554,1
10031,19563,11
10031,19667,1
10031,20280,20
10031,20378,4
10031,20922,25
10031,21065,8
10031,21199,10
10031,21238,7
10031,21426,1
10031,21632,6
10031,21780,4
10031,21983,8
10031,21984,2
10031,22070,8
10031,22148,12
10031,22184,1
10031,22248,3
10031,22259,4
10031,22339,2
10031,22392,2
10031,22397,6
10031,22505,8
10031,22510,1
10031,22750,6
10031,22783,4
10031,22831,6
10031,22959,2
10031,22989,4
10031,22997,4
10031,23002,16
10031,23148,3
10031,23154,2
10031,23210,6
10031,23377,3
10031,23463,2
10031,23499,2
10031,23599,2
10031,23677,9
10031,23686,1
10031,23719,14
10031,23729,20
10031,23741,8
10031,23775,23
10031,23830,3
10031,23852,2
10031,23867,13
10031,23868,7
10031,23890,4
10031,23930,3
10031,23989,5
10031,24035,10
10031,24071,5
10031,24164,11
10031,24211,1
10031,24264,1
10031,24283,6
10031,24319,4
10031,24482,10
10031,24492,5
10031,24505,13
10031,24592,11
10031,24719,3
10031,24784,17
10031,24909,4
10031,25088,3
10031,25167,3
10031,25198,5
10031,25202,2
10031,25369,8
10031,25394,10
10031,25400,14
10031,25446,1
10031,25569,14
10031,25641,1
10031,25711,12
10031,25806,12
10031,25817,1
10031,25952,1
10031,26373,2
10031,26450,11
10031,26740,1
10031,26963,4
10031,26976,2
10031,27067,1
10031,27273,2
10031,27334,10
10031,27579,3
10031,27689,3
10031,27709,2
10031,27730,1
10031,27967,2
10031,28134,17
10031,28204,1
10031,28259,10
10031,28390,1
10031,28599,13
10031,28823,1
10031,29092,1
10031,29186,9
10031,29359,9
10031,29622,6
10031,29744,9
10031,29803,2
10031,29979,1
10031,30280,1
10031,30499,11
10031,30707,2
10031,30993,11
10031,31623,6
10031,31878,1
10031,32153,2
10031,32614,13
10031,32946,10
10031,33177,3
10031,34756,7
10031,34774,7
10031,34838,7
10031,37829,1
10031,37958,4
10031,38810,4
10031,40815,3
10031,42452,14
10031,43910,6
10031,44299,8
10031,44481,6
10031,44666,2
10031,45300,15
10031,46034,1
10031,48716,1
10031,49773,8
10031,50564,10
10031,52329,8
10031,54562,15
10031,54638,1
10031,57264,6
10031,57894,11
10031,69463,7
10031,70408,9
10031,76174,12
10031,84104,5
10031,84470,5
10031,85707,3
10031,86507,6
10031,100368,5
10031,513691,24
10031,514646,1
10031,516223,1
10031,516361,31
10031,516363,3
10031,517465,4
10031,518450,7
10031,518681,3
10031,519926,104
10031,520903,2
10031,521028,27
10031,523317,17
10031,523923,1
10031,524005,4
10031,525266,19
10031,527684,1
10031,529578,4
10033,10001,14
10033,10106,3
10033,10117,18
10033,10128,1
10033,10146,7
10033,10202,1
10033,10246,3
10033,10283,4
10033,10333,1
10033,10584,28
10033,10760,1
10033,10923,3
10033,10925,1
10033,10944,11
10033,11137,1
10033,11154,8
10033,11397,80
10033,11435,3
10033,11572,113
10033,11782,28
10033,11826,2
10033,12053,6
10033,12129,128
10033,12150,20
10033,12242,26
10033,12255,2
10033,12614,43
10033,13114,7
10033,13156,2
10033,13381,2
10033,13825,11
10033,13895,2
10033,14017,1
10033,14466,1
10033,14491,3
10033,14511,2
10033,14700,4
10033,14861,2
10033,14926,1
10033,15261,2
10033,15352,65
10033,15665,4
10033,15733,1
10033,15831,11
10033,15966,1
10033,16109,3
10033,16168,23
10033,16263,7
10033,16657,1
10033,16815,15
10033,16889,3
10033,17527,2
10033,17815,16
10033,18167,6
10033,18211,27
10033,18512,3
10033,19041,3
10033,19082,16
10033,19951,9
10033,23399,1
10033,33474,12
10033,512121,3
10033,518426,5
10033,520300,1
10033,521675,1
10033,523858,18
10033,527699,2
10033,531583,2
10033,531985,15
10033,532198,1
10033,558778,1
10033,570013,10
10033,802401,2
10033,806232,1
10033,806876,2
10033,903327,60
10038,10101,300
10038,10117,73
10038,10167,1
10038,10202,18
10038,10263,1
10038,10283,1
10038,10297,1
10038,10333,33
10038,10360,14
10038,10373,1
10038,10406,1
10038,10489,30
10038,10760,72
10038,10775,6
10038,10867,1
10038,10868,13
10038,10923,1
10038,11014,3
10038,11066,4
10038,11133,1
10038,11233,4
10038,11361,1
10038,11416,3
10038,11750,4
10038,11795,3
10038,12143,4
10038,12232,2
10038,13240,5
10038,13600,1
10038,14110,3
10038,14259,2
10038,14926,1
10038,15602,1
10038,15699,2
10038,16931,1
10038,17284,1
10038,18090,2
10038,18335,1
10038,29119,2
10038,407325,1
10038,513691,16
10038,516820,5
10038,520300,3
10038,521377,1
10038,523438,2
10038,523643,6
10038,529641,9
10038,581131,82
10038,801027,177
10070,10005,16
10070,10030,1
10070,10038,6
10070,10101,1
10070,10136,1
10070,10148,8
10070,10167,7
10070,10212,3
10070,10333,4
10070,10360,289
10070,10373,2
10070,10489,1
10070,10502,1
10070,10636,2
10070,10760,36
10070,10850,27
10070,10868,14
10070,10875,1
10070,10971,1
10070,10975,226
10070,10986,42
10070,11066,156
10070,11208,1
10070,11233,51
10070,11370,2
10070,11371,25
10070,11397,43
10070,11405,2
10070,11416,11
10070,11440,2
10070,11526,1
10070,11579,43
10070,11610,63
10070,11913,1
10070,11943,2
10070,12086,108
10070,12110,88
10070,12135,31
10070,12278,144
10070,12391,3
10070,12458,1
10070,12724,5
10070,12830,214
10070,13084,1
10070,13441,6
10070,14002,8
10070,14200,152
10070,14259,350
10070,14373,2
10070,14980,1
10070,15602,1
10070,17461,14
10070,17837,1
10070,18020,1
10070,18026,2
10070,18078,1
10070,18138,2
10070,18146,3
10070,18335,17
10070,18340,6
10070,18518,1
10070,18745,4
10070,18817,29
10070,19066,86
10070,19187,19
10070,19508,1
10070,19554,2
10070,19563,67
10070,19686,3
10070,20112,1
10070,20922,3
10070,21780,2
10070,23741,1
10070,23835,1
10070,25003,1
10070,26963,1
10070,27689,1
10070,30194,1
10070,38847,1
10070,40220,1
10070,60980,220
10070,99043,1
10070,512118,22
10070,513691,1
10070,516363,2
10070,517465,2
10070,519624,1
10070,519926,1
10070,520300,143
10070,523317,1
10070,523875,2
10070,525266,1
10070,529571,29
10070,529641,237
10070,531863,3
10070,532909,5
10070,534040,1
10070,555227,1
10070,581131,8
10074,10010,414
10074,10017,84
10074,10030,15
10074,10091,5
10074,10115,2
10074,10136,3
10074,10145,1
10074,10146,2
10074,10147,40
10074,10148,9
10074,10173,1
10074,10197,68
10074,10202,1
10074,10228,426
10074,10244,44
10074,10246,8
10074,10251,11
10074,10257,65
10074,10259,91
10074,10263,12
10074,10287,1
10074,10348,11
10074,10361,213
10074,10364,1
10074,10373,57
10074,10386,62
10074,10407,2
10074,10417,50
10074,10447,2
10074,10494,7
10074,10536,4
10074,10570,5
10074,10580,42
10074,10609,2
10074,10667,2
10074,10684,16
10074,10709,13
10074,10728,99
10074,10731,2
10074,10739,1
10074,10778,15
10074,10780,39
10074,10783,2
10074,10971,3
10074,10992,21
10074,11017,1
10074,11018,31
10074,11091,22
10074,11101,12
10074,11118,18
10074,11125,40
10074,11133,3
10074,11154,1
10074,11187,3
10074,11191,5
10074,11249,109
10074,11252,1
10074,11272,31
10074,11378,2
10074,11391,19
10074,11476,1
10074,11507,1
10074,11509,17
10074,11572,7
10074,11599,84
10074,11646,1
10074,11666,3
10074,11677,30
10074,11697,2
10074,11720,34
10074,11782,48
10074,11790,4
10074,11826,30
10074,11832,2
10074,11895,3
10074,11927,17
10074,11950,5
10074,12032,1
10074,12053,42
10074,12143,4
10074,12242,2
10074,12275,1
10074,12349,2
10074,12395,2
10074,12420,3
10074,12427,10
10074,12459,4
10074,12530,1
10074,12614,11
10074,12621,68
10074,12628,1
10074,12824,2
10074,12972,1
10074,13122,1
10074,13132,1
10074,13181,1
10074,13261,13
10074,13274,3
10074,13472,2
10074,13825,2
10074,13959,1
10074,13963,1
10074,14055,1
10074,14091,39
10074,14106,1
10074,14168,21
10074,14511,1
10074,14529,1
10074,14888,3
10074,14998,56
10074,15068,1
10074,15225,1
10074,15424,19
10074,15513,6
10074,15597,14
10074,15733,2
10074,15791,2
10074,15831,3
10074,15959,1
10074,15966,3
10074,15994,9
10074,16168,4
10074,16475,4
10074,16482,17
10074,16568,11
10074,16815,2
10074,16904,120
10074,16917,1
10074,17270,5
10074,17340,2
10074,17375,1
10074,17404,2
10074,17478,2
10074,17556,5
10074,17584,64
10074,17653,3
10074,17837,1
10074,17939,1
10074,18090,1
10074,18340,4
10074,18432,5
10074,18478,2
10074,18907,110
10074,19187,4
10074,19532,2
10074,19658,3
10074,19692,21
10074,19856,2
10074,20021,6
10074,20440,2
10074,20509,2
10074,20859,1
10074,20885,34
10074,20976,1
10074,21026,2
10074,21342,4
10074,21392,1
10074,22292,32
10074,22584,6
10074,22620,2
10074,22922,1
10074,23202,4
10074,23226,2
10074,23247,1
10074,24410,1
10074,25110,1
10074,25438,2
10074,27010,2
10074,27750,1
10074,27829,4
10074,28160,1
10074,28980,1
10074,29469,2
10074,29514,2
10074,29753,1
10074,30087,1
10074,30194,3
10074,31301,1
10074,33037,135
10074,33137,2
10074,34845,1
10074,35262,1
10074,35616,2
